Si No,Volume ,V/ C Ratio,Speed
360,228,0.17,105.64
361,225,0.17,105.60
362,222,0.16,105.56
363,219,0.16,105.52
364,216,0.16,105.48
365,213,0.16,105.44
366,210,0.16,105.40
367,207,0.15,105.36
368,204,0.15,105.32
369,201,0.15,105.28
370,198,0.15,105.24
371,195,0.14,105.20
372,192,0.14,105.16
373,189,0.14,105.12
374,186,0.14,105.08
375,183,0.14,105.04
376,180,0.13,105.00
377,177,0.13,104.96
378,174,0.13,104.92
379,171,0.13,104.88
380,168,0.12,104.84
381,165,0.12,104.80
382,162,0.12,104.76
383,159,0.12,104.72
384,156,0.12,104.68
385,153,0.11,104.64
386,150,0.11,104.60
387,147,0.11,104.56
388,144,0.11,104.52
389,141,0.10,104.48
390,138,0.10,104.44
391,135,0.10,104.40
392,132,0.10,104.36
393,129,0.10,104.32
394,126,0.09,104.28
395,123,0.09,104.24
396,120,0.09,104.20
397,117,0.09,104.16
398,114,0.08,104.12
399,111,0.08,104.08
400,108,0.08,104.04
401,360,0.30,104.00
402,358,0.30,103.96
403,356,0.30,103.92
404,354,0.30,103.88
405,352,0.29,103.84
406,350,0.29,103.80
407,348,0.29,103.76
408,346,0.29,103.72
409,344,0.29,103.68
410,342,0.29,103.64
411,340,0.28,103.60
412,338,0.28,103.56
413,336,0.28,103.52
414,334,0.28,103.48
415,332,0.28,103.44
416,330,0.28,103.40
417,328,0.27,103.36
418,326,0.27,103.32
419,324,0.27,103.28
420,322,0.27,103.24
421,320,0.27,103.20
422,318,0.27,103.16
423,316,0.26,103.12
424,314,0.26,103.08
425,312,0.26,103.04
426,310,0.26,103.00
427,308,0.26,102.96
428,306,0.26,102.92
429,304,0.25,102.88
430,302,0.25,102.84
431,300,0.25,102.80
432,298,0.25,102.76
433,296,0.25,102.72
434,294,0.25,102.68
435,292,0.24,102.64
436,290,0.24,102.60
437,288,0.24,102.56
438,286,0.24,102.52
439,284,0.24,102.48
440,282,0.24,102.44
441,280,0.23,102.40
442,278,0.23,102.36
443,276,0.23,102.32
444,274,0.23,102.28
445,272,0.23,102.24
446,270,0.23,102.20
447,268,0.22,102.16
448,266,0.22,102.12
449,264,0.22,102.08
450,262,0.22,102.04
451,260,0.22,102.00
452,258,0.22,101.96
453,256,0.21,101.92
454,254,0.21,101.88
455,252,0.21,101.84
456,250,0.21,101.80
457,248,0.21,101.76
458,246,0.21,101.72
459,244,0.20,101.68
460,242,0.20,101.64
461,240,0.20,101.60
462,238,0.20,101.56
463,236,0.20,101.52
464,234,0.20,101.48
465,232,0.19,101.44
466,230,0.19,101.40
467,228,0.19,101.36
468,226,0.19,101.32
469,224,0.19,101.28
470,222,0.19,101.24
471,220,0.18,101.20
472,218,0.18,101.16
473,216,0.18,101.12
474,214,0.18,101.08
475,212,0.18,101.04
476,210,0.18,101.00
477,208,0.17,100.96
478,206,0.17,100.92
479,204,0.17,100.88
480,202,0.17,100.84
481,200,0.17,100.80
482,198,0.17,100.76
483,196,0.16,100.72
484,194,0.16,100.68
485,192,0.16,100.64
486,190,0.16,100.60
487,188,0.16,100.56
488,186,0.16,100.52
489,184,0.15,100.48
490,182,0.15,100.44
491,180,0.15,100.40
492,178,0.15,100.36
493,176,0.15,100.32
494,174,0.15,100.28
495,172,0.14,100.24
496,170,0.14,100.20
497,168,0.14,100.16
498,166,0.14,100.12
499,164,0.14,100.08
500,162,0.14,100.04
501,160,0.13,100.00
502,158,0.13,99.96
503,824,0.30,90.00
504,828,0.30,90.02
505,832,0.30,90.04
506,836,0.30,90.06
507,840,0.31,90.08
508,844,0.31,90.10
509,848,0.31,90.12
510,852,0.31,90.14
511,856,0.31,90.16
512,860,0.31,90.18
513,864,0.31,90.20
514,868,0.32,90.22
515,872,0.32,90.24
516,876,0.32,90.26
517,880,0.32,90.28
518,884,0.32,90.30
519,888,0.32,90.32
520,892,0.32,90.34
521,896,0.33,90.36
522,900,0.33,90.38
523,904,0.33,90.40
524,908,0.33,90.42
525,912,0.33,90.44
526,916,0.33,90.46
527,920,0.33,90.48
528,924,0.34,90.50
529,928,0.34,90.52
530,932,0.34,90.54
531,936,0.34,90.56
532,940,0.34,90.58
533,944,0.34,90.60
534,948,0.34,90.62
535,952,0.35,90.64
536,956,0.35,90.66
537,960,0.35,90.68
538,964,0.35,90.70
539,968,0.35,90.72
540,972,0.35,90.74
541,976,0.35,90.76
542,980,0.36,90.78
543,984,0.36,90.80
544,988,0.36,90.82
545,992,0.36,90.84
546,996,0.36,90.86
547,1000,0.36,90.88
548,1004,0.37,90.90
549,1008,0.37,90.92
550,1012,0.37,90.94
551,1016,0.37,90.96
552,1020,0.37,90.98
553,1024,0.37,91.00
554,1028,0.37,91.02
555,1032,0.38,91.04
556,1036,0.38,91.06
557,1040,0.38,91.08
558,1044,0.38,91.10
559,1048,0.38,91.12
560,1052,0.38,91.14
561,1056,0.38,91.16
562,1060,0.39,91.18
563,1064,0.39,91.20
564,1068,0.39,91.22
565,1072,0.39,91.24
566,1076,0.39,91.26
567,1080,0.39,91.28
568,1084,0.39,91.30
569,1088,0.40,91.32
570,1092,0.40,91.34
571,1096,0.40,91.36
572,1100,0.40,91.38
573,1104,0.40,91.40
574,1108,0.40,91.42
575,1112,0.40,91.44
576,1116,0.41,91.46
577,1120,0.41,91.48
578,1124,0.41,91.50
579,1128,0.41,91.52
580,1132,0.41,91.54
581,1136,0.41,91.56
582,1140,0.41,91.58
583,1144,0.42,91.60
584,1148,0.42,91.62
585,1152,0.42,91.64
586,1156,0.42,91.66
587,1160,0.42,91.68
588,1164,0.42,91.70
589,1168,0.42,91.72
590,1172,0.43,91.74
591,1176,0.43,91.76
592,1180,0.43,91.78
593,1184,0.43,91.80
594,1188,0.43,91.82
595,1192,0.43,91.84
596,1196,0.43,91.86
597,1200,0.44,91.88
598,1204,0.44,91.90
599,1208,0.44,91.92
600,1212,0.44,91.94
601,1216,0.44,91.96
602,1220,0.44,91.98
603,900,0.45,92.00
604,897,0.45,92.02
605,894,0.45,92.04
606,891,0.45,92.06
607,888,0.44,92.08
608,885,0.44,92.10
609,882,0.44,92.12
610,879,0.44,92.14
611,876,0.44,92.16
612,873,0.44,92.18
613,870,0.44,92.20
614,867,0.43,92.22
615,864,0.43,92.24
616,861,0.43,92.26
617,858,0.43,92.28
618,855,0.43,92.30
619,852,0.43,92.32
620,849,0.42,92.34
621,846,0.42,92.36
622,843,0.42,92.38
623,840,0.42,92.40
624,837,0.42,92.42
625,834,0.42,92.44
626,831,0.42,92.46
627,828,0.41,92.48
628,825,0.41,92.50
629,822,0.41,92.52
630,819,0.41,92.54
631,816,0.41,92.56
632,813,0.41,92.58
633,810,0.41,92.60
634,807,0.40,92.62
635,804,0.40,92.64
636,801,0.40,92.66
637,798,0.40,92.68
638,795,0.40,92.70
639,792,0.40,92.72
640,789,0.39,92.74
641,786,0.39,92.76
642,783,0.39,92.78
643,780,0.39,92.80
644,777,0.39,92.82
645,774,0.39,92.84
646,771,0.39,92.86
647,768,0.38,92.88
648,765,0.38,92.90
649,762,0.38,92.92
650,759,0.38,92.94
651,756,0.38,92.96
652,753,0.38,92.98
653,750,0.38,93.00
654,747,0.37,93.02
655,744,0.37,93.04
656,741,0.37,93.06
657,738,0.37,93.08
658,735,0.37,93.10
659,732,0.37,93.12
660,729,0.36,93.14
661,726,0.36,93.16
662,723,0.36,93.18
663,720,0.36,93.20
664,717,0.36,93.22
665,714,0.36,93.24
666,711,0.36,93.26
667,708,0.35,93.28
668,705,0.35,93.30
669,702,0.35,93.32
670,699,0.35,93.34
671,696,0.35,93.36
672,693,0.35,93.38
673,690,0.35,93.40
674,687,0.34,93.42
675,684,0.34,93.44
676,681,0.34,93.46
677,678,0.34,93.48
678,675,0.34,93.50
679,672,0.34,93.52
680,669,0.33,93.54
681,666,0.33,93.56
682,663,0.33,93.58
683,660,0.33,93.60
684,657,0.33,93.62
685,654,0.33,93.64
686,651,0.33,93.66
687,648,0.32,93.68
688,645,0.32,93.70
689,642,0.32,93.72
690,639,0.32,93.74
691,636,0.32,93.76
692,633,0.32,93.78
693,630,0.32,93.80
694,627,0.31,93.82
695,624,0.31,93.84
696,621,0.31,93.86
697,618,0.31,93.88
698,615,0.31,93.90
699,612,0.31,93.92
700,609,0.30,93.94
701,606,0.30,93.96
702,603,0.30,93.98
703,675,0.45,94.00
704,673,0.45,94.02
705,671,0.45,94.04
706,669,0.45,94.06
707,667,0.44,94.08
708,665,0.44,94.10
709,663,0.44,94.12
710,661,0.44,94.14
711,659,0.44,94.16
712,657,0.44,94.18
713,655,0.44,94.20
714,653,0.44,94.22
715,651,0.43,94.24
716,649,0.43,94.26
717,647,0.43,94.28
718,645,0.43,94.30
719,643,0.43,94.32
720,641,0.43,94.34
721,639,0.43,94.36
722,637,0.42,94.38
723,635,0.42,94.40
724,633,0.42,94.42
725,631,0.42,94.44
726,629,0.42,94.46
727,627,0.42,94.48
728,625,0.42,94.50
729,623,0.42,94.52
730,621,0.41,94.54
731,619,0.41,94.56
732,617,0.41,94.58
733,615,0.41,94.60
734,613,0.41,94.62
735,611,0.41,94.64
736,609,0.41,94.66
737,607,0.40,94.68
738,605,0.40,94.70
739,603,0.40,94.72
740,601,0.40,94.74
741,599,0.40,94.76
742,597,0.40,94.78
743,595,0.40,94.80
744,593,0.40,94.82
745,591,0.39,94.84
746,589,0.39,94.86
747,587,0.39,94.88
748,585,0.39,94.90
749,583,0.39,94.92
750,581,0.39,94.94
751,579,0.39,94.96
752,577,0.38,94.98
753,575,0.38,95.00
754,573,0.38,95.02
755,571,0.38,95.04
756,569,0.38,95.06
757,567,0.38,95.08
758,565,0.38,95.10
759,563,0.38,95.12
760,561,0.37,95.14
761,559,0.37,95.16
762,557,0.37,95.18
763,555,0.37,95.20
764,553,0.37,95.22
765,551,0.37,95.24
766,549,0.37,95.26
767,547,0.36,95.28
768,545,0.36,95.30
769,543,0.36,95.32
770,541,0.36,95.34
771,539,0.36,95.36
772,537,0.36,95.38
773,535,0.36,95.40
774,533,0.36,95.42
775,531,0.35,95.44
776,529,0.35,95.46
777,527,0.35,95.48
778,525,0.35,95.50
779,523,0.35,95.52
780,521,0.35,95.54
781,519,0.35,95.56
782,517,0.34,95.58
783,515,0.34,95.60
784,513,0.34,95.62
785,511,0.34,95.64
786,509,0.34,95.66
787,507,0.34,95.68
788,505,0.34,95.70
789,503,0.34,95.72
790,501,0.33,95.74
791,499,0.33,95.76
792,497,0.33,95.78
793,495,0.33,95.80
794,493,0.33,95.82
795,491,0.33,95.84
796,489,0.33,95.86
797,487,0.32,95.88
798,485,0.32,95.90
799,483,0.32,95.92
800,481,0.32,95.94
801,479,0.32,95.96
802,477,0.32,95.98
803,400,0.30,96.00
804,402,0.30,96.02
805,404,0.30,96.04
806,406,0.30,96.06
807,408,0.30,96.08
808,410,0.30,96.10
809,412,0.31,96.12
810,414,0.31,96.14
811,416,0.31,96.16
812,418,0.31,96.18
813,420,0.31,96.20
814,422,0.31,96.22
815,424,0.31,96.24
816,426,0.32,96.26
817,428,0.32,96.28
818,430,0.32,96.30
819,432,0.32,96.32
820,434,0.32,96.34
821,436,0.32,96.36
822,438,0.32,96.38
823,440,0.33,96.40
824,442,0.33,96.42
825,444,0.33,96.44
826,446,0.33,96.46
827,448,0.33,96.48
828,450,0.33,96.50
829,452,0.33,96.52
830,454,0.34,96.54
831,456,0.34,96.56
832,458,0.34,96.58
833,460,0.34,96.60
834,462,0.34,96.62
835,464,0.34,96.64
836,466,0.35,96.66
837,468,0.35,96.68
838,470,0.35,96.70
839,472,0.35,96.72
840,474,0.35,96.74
841,476,0.35,96.76
842,478,0.35,96.78
843,480,0.36,96.80
844,482,0.36,96.82
845,484,0.36,96.84
846,486,0.36,96.86
847,488,0.36,96.88
848,490,0.36,96.90
849,492,0.36,96.92
850,494,0.37,96.94
851,496,0.37,96.96
852,498,0.37,96.98
853,500,0.37,97.00
854,502,0.37,97.02
855,504,0.37,97.04
856,506,0.37,97.06
857,508,0.38,97.08
858,510,0.38,97.10
859,512,0.38,97.12
860,514,0.38,97.14
861,516,0.38,97.16
862,518,0.38,97.18
863,520,0.39,97.20
864,522,0.39,97.22
865,524,0.39,97.24
866,526,0.39,97.26
867,528,0.39,97.28
868,530,0.39,97.30
869,532,0.39,97.32
870,534,0.40,97.34
871,536,0.40,97.36
872,538,0.40,97.38
873,540,0.40,97.40
874,542,0.40,97.42
875,544,0.40,97.44
876,546,0.40,97.46
877,548,0.41,97.48
878,550,0.41,97.50
879,552,0.41,97.52
880,554,0.41,97.54
881,556,0.41,97.56
882,558,0.41,97.58
883,560,0.41,97.60
884,562,0.42,97.62
885,564,0.42,97.64
886,566,0.42,97.66
887,568,0.42,97.68
888,570,0.42,97.70
889,572,0.42,97.72
890,574,0.43,97.74
891,576,0.43,97.76
892,578,0.43,97.78
893,580,0.43,97.80
894,582,0.43,97.82
895,584,0.43,97.84
896,586,0.43,97.86
897,588,0.44,97.88
898,594,0.44,97.90
899,598,0.44,97.92
900,600,0.44,97.94
901,605,0.45,97.96
902,603,0.45,97.98
903,540,0.45,98.00
904,539,0.45,98.02
905,538,0.45,98.04
906,537,0.45,98.06
907,536,0.45,98.08
908,535,0.45,98.10
909,534,0.45,98.12
910,533,0.44,98.14
911,532,0.44,98.16
912,531,0.44,98.18
913,530,0.44,98.20
914,529,0.44,98.22
915,528,0.44,98.24
916,527,0.44,98.26
917,526,0.44,98.28
918,525,0.44,98.30
919,524,0.44,98.32
920,523,0.44,98.34
921,522,0.44,98.36
922,521,0.43,98.38
923,520,0.43,98.40
924,519,0.43,98.42
925,518,0.43,98.44
926,517,0.43,98.46
927,516,0.43,98.48
928,515,0.43,98.50
929,514,0.43,98.52
930,513,0.43,98.54
931,512,0.43,98.56
932,511,0.43,98.58
933,510,0.43,98.60
934,509,0.42,98.62
935,508,0.42,98.64
936,507,0.42,98.66
937,506,0.42,98.68
938,505,0.42,98.70
939,504,0.42,98.72
940,503,0.42,98.74
941,502,0.42,98.76
942,501,0.42,98.78
943,500,0.42,98.80
944,499,0.42,98.82
945,498,0.42,98.84
946,497,0.41,98.86
947,496,0.41,98.88
948,495,0.41,98.90
949,494,0.41,98.92
950,493,0.41,98.94
951,492,0.41,98.96
952,491,0.41,98.98
953,490,0.41,99.00
954,489,0.41,99.02
955,488,0.41,99.04
956,487,0.41,99.06
957,486,0.41,99.08
958,485,0.40,99.10
959,484,0.40,99.12
960,483,0.40,99.14
961,482,0.40,99.16
962,481,0.40,99.18
963,480,0.40,99.20
964,479,0.40,99.22
965,478,0.40,99.24
966,477,0.40,99.26
967,476,0.40,99.28
968,475,0.40,99.30
969,474,0.40,99.32
970,473,0.39,99.34
971,472,0.39,99.36
972,471,0.39,99.38
973,470,0.39,99.40
974,469,0.39,99.42
975,468,0.39,99.44
976,467,0.39,99.46
977,466,0.39,99.48
978,465,0.39,99.50
979,464,0.39,99.52
980,463,0.39,99.54
981,462,0.39,99.56
982,461,0.38,99.58
983,460,0.38,99.60
984,459,0.38,99.62
985,458,0.38,99.64
986,457,0.38,99.66
987,456,0.38,99.68
988,455,0.38,99.70
989,454,0.38,99.72
990,453,0.38,99.74
991,452,0.38,99.76
992,451,0.38,99.78
993,450,0.38,99.80
994,449,0.37,99.82
995,448,0.37,99.84
996,447,0.37,99.86
997,446,0.37,99.88
998,445,0.37,99.90
999,444,0.37,99.92
1000,443,0.37,99.94
1001,442,0.37,99.96
1002,441,0.37,99.98
1003,300,0.30,90.00
1004,302,0.30,90.01
1005,304,0.30,90.02
1006,306,0.31,90.03
1007,308,0.31,90.04
1008,310,0.31,90.05
1009,312,0.31,90.06
1010,314,0.31,90.07
1011,316,0.32,90.08
1012,318,0.32,90.09
1013,320,0.32,90.10
1014,322,0.32,90.11
1015,324,0.32,90.12
1016,326,0.33,90.13
1017,328,0.33,90.14
1018,330,0.33,90.15
1019,332,0.33,90.16
1020,334,0.33,90.17
1021,336,0.34,90.18
1022,338,0.34,90.19
1023,340,0.34,90.20
1024,342,0.34,90.21
1025,344,0.34,90.22
1026,346,0.35,90.23
1027,348,0.35,90.24
1028,350,0.35,90.25
1029,352,0.35,90.26
1030,354,0.35,90.27
1031,356,0.36,90.28
1032,358,0.36,90.29
1033,360,0.36,90.30
1034,362,0.36,90.31
1035,364,0.36,90.32
1036,366,0.37,90.33
1037,368,0.37,90.34
1038,370,0.37,90.35
1039,372,0.37,90.36
1040,374,0.37,90.37
1041,376,0.38,90.38
1042,378,0.38,90.39
1043,380,0.38,90.40
1044,382,0.38,90.41
1045,384,0.38,90.42
1046,386,0.39,90.43
1047,388,0.39,90.44
1048,390,0.39,90.45
1049,392,0.39,90.46
1050,394,0.39,90.47
1051,396,0.40,90.48
1052,398,0.40,90.49
1053,400,0.40,90.50
1054,402,0.40,90.51
1055,404,0.40,90.52
1056,406,0.41,90.53
1057,408,0.41,90.54
1058,410,0.41,90.55
1059,412,0.41,90.56
1060,414,0.41,90.57
1061,416,0.42,90.58
1062,418,0.42,90.59
1063,420,0.42,90.60
1064,422,0.42,90.61
1065,424,0.42,90.62
1066,426,0.43,90.63
1067,428,0.43,90.64
1068,430,0.43,90.65
1069,432,0.43,90.66
1070,434,0.43,90.67
1071,436,0.44,90.68
1072,438,0.44,90.69
1073,440,0.44,90.70
1074,442,0.44,90.71
1075,444,0.44,90.72
1076,446,0.45,90.73
1077,448,0.45,90.74
1078,450,0.45,90.75
1079,452,0.45,90.76
1080,454,0.45,90.77
1081,398,0.40,90.78
1082,395,0.40,90.79
1083,392,0.39,90.80
1084,389,0.39,90.81
1085,386,0.39,90.82
1086,383,0.38,90.83
1087,380,0.38,90.84
1088,377,0.38,90.85
1089,374,0.37,90.86
1090,371,0.37,90.87
1091,368,0.37,90.88
1092,365,0.37,90.89
1093,362,0.36,90.90
1094,359,0.36,90.91
1095,356,0.36,90.92
1096,353,0.35,90.93
1097,350,0.35,90.94
1098,347,0.35,90.95
1099,344,0.34,90.96
1100,341,0.34,90.97
1101,338,0.34,90.98
1102,335,0.34,90.99
1103,1760,0.64,90.00
1104,1755,0.64,89.99
1105,1750,0.64,89.97
1106,1745,0.63,89.96
1107,1740,0.63,89.94
1108,1735,0.63,89.93
1109,1730,0.63,89.91
1110,1725,0.63,89.90
1111,1720,0.63,89.88
1112,1715,0.62,89.87
1113,1710,0.62,89.85
1114,1705,0.62,89.84
1115,1700,0.62,89.82
1116,1695,0.62,89.81
1117,1690,0.61,89.79
1118,1685,0.61,89.78
1119,1680,0.61,89.76
1120,1675,0.61,89.75
1121,1670,0.61,89.73
1122,1665,0.61,89.72
1123,1660,0.60,89.70
1124,1655,0.60,89.69
1125,1650,0.60,89.67
1126,1645,0.60,89.66
1127,1640,0.60,89.64
1128,1635,0.59,89.63
1129,1630,0.59,89.61
1130,1625,0.59,89.60
1131,1620,0.59,89.58
1132,1615,0.59,89.57
1133,1610,0.59,89.55
1134,1605,0.58,89.54
1135,1600,0.58,89.52
1136,1595,0.58,89.51
1137,1590,0.58,89.49
1138,1585,0.58,89.48
1139,1580,0.57,89.46
1140,1575,0.57,89.45
1141,1570,0.57,89.43
1142,1565,0.57,89.42
